,lat,lon,GEOID,restaurant_count,school_count,park_count,bus_station_count,supermarket_count,pub_count,parkwide_count,restaurantwide_count,intersection_count,streets_per_node_avg,circuity_avg,street_length_avg
336,47.60756641846764,-122.31206653804732,53033008700,10,7,10,5,5,8,10,10,222,3.5021459227467813,1.0340038354361958,29.237018421052635
337,47.61339561152096,-122.33652555638892,53033007302,10,3,10,4,9,10,10,10,404,3.3734939759036147,1.0143275278298518,22.42974847560975
338,47.52040868235189,-122.26331874591668,53033011802,5,5,7,6,1,1,10,0,136,3.064935064935065,1.1200662159716912,30.451488372093028
339,47.59215195403917,-122.41146683842078,53033990100,0,0,0,3,0,0,10,0,0,0.0,0.0,0.0
340,47.667151830516985,-122.31208950509706,53033004402,10,3,10,4,4,7,10,0,322,3.4881656804733727,1.005775869115778,29.68828571428574
341,47.68966788078958,-122.3682080774915,53033003000,10,3,4,1,3,5,10,0,60,3.1029411764705883,1.0175877315587862,41.58408888888887
342,47.59245800418813,-122.29051252555958,53033008900,6,4,10,6,0,0,10,0,93,2.905982905982906,1.0242482464807237,42.502457516339874
343,47.62138472624636,-122.26601607182766,53033007800,0,0,0,8,0,0,10,0,0,0.0,0.0,0.0
344,47.55150791997808,-122.2697787446898,53033010200,8,4,2,8,0,0,10,0,62,2.958904109589041,1.006973156338122,58.9721052631579
345,47.5941210832622,-122.33262498690094,53033009300,10,3,10,5,4,7,10,0,66,3.180555555555556,1.0211453776358983,37.45177777777777
346,47.67231102004863,-122.26488641607745,53033004102,0,1,2,7,0,0,10,0,29,3.1,1.026751628764664,66.00184210526317
347,47.56704572875793,-122.30700142290164,53033010001,4,1,4,5,1,0,10,0,31,2.9714285714285715,1.791764031274146,89.95239534883721
348,47.52236568842685,-122.42455358445656,53033990100,0,0,0,2,0,0,5,0,0,0.0,0.0,0.0
349,47.58363776679523,-122.23637471029792,53033024301,9,0,5,7,2,0,10,10,173,2.925,1.115551899042592,32.01390613718412
350,47.55597160721829,-122.35189035603652,53033010800,1,1,9,4,0,0,10,4,18,2.608695652173913,1.1130192693289331,84.38944
351,47.68647805760865,-122.38212098626904,53033003000,10,2,4,0,0,1,10,10,64,3.378787878787879,1.0102868944549197,72.62731578947366
352,47.632950490769765,-122.314424312133,53033006500,4,8,10,6,0,1,10,10,76,2.988372093023256,1.1160336093741394,54.12877586206898
353,47.54282024788608,-122.35026182045485,53033010800,0,1,3,4,0,0,10,1,22,2.8076923076923075,1.1090735976276314,76.21886666666666
354,47.704693526322274,-122.26456087570382,53033000900,0,0,0,8,0,0,10,0,0,0.0,0.0,0.0
355,47.68729443679847,-122.32754598287949,53033002700,10,7,4,4,0,2,10,10,48,2.903225806451613,1.0407494059114497,51.09117721518987
356,47.65282393917175,-122.28171501117518,53033004101,0,0,4,7,0,0,10,7,12,2.421052631578948,1.0366505247642557,43.033350000000006
357,47.610273617494606,-122.31683251026983,53033008600,10,4,10,5,0,10,10,10,247,3.1684587813620078,1.0175907870521532,26.921542168674712
358,47.63775983190141,-122.2986937097456,53033006200,1,3,6,6,0,0,10,6,117,2.8413793103448275,1.0289714286173004,38.79002150537632
359,47.62813129499146,-122.37881450202596,53033005804,4,0,7,2,0,0,10,6,5,2.6666666666666665,1.04072935192375,89.90933333333334
360,47.59997228891811,-122.30531005858911,53033009000,10,7,10,6,0,3,10,10,200,3.109170305676856,1.041717347278634,27.28950453172205
361,47.61404234861303,-122.40639232086512,53033990100,0,0,0,2,0,0,4,0,0,0.0,0.0,0.0
362,47.6416534759372,-122.33770588220182,53033005401,10,4,10,4,0,3,10,10,0,0.0,0.0,0.0
363,47.695185461645146,-122.28445034662326,53033002200,2,1,4,7,0,2,10,3,16,2.458333333333333,1.0241247339311776,62.49575000000001
364,47.61189259958292,-122.40115689916465,53033990100,0,0,0,2,0,0,5,0,0,0.0,0.0,0.0
365,47.68302003247333,-122.39502129575196,53033003100,7,3,3,0,0,0,10,10,43,3.2954545454545454,1.0033215819718595,76.38385245901638
366,47.58059606231701,-122.28839826854802,53033009500,8,3,10,6,2,0,10,10,59,3.3,1.1067931061909868,64.3012
367,47.51741159080111,-122.24733393170013,53033011802,1,1,4,5,0,0,10,4,0,0.0,0.0,0.0
368,47.55761042241208,-122.35664329683854,53033010800,1,1,10,4,0,0,10,2,31,2.608695652173913,1.0702663763243252,45.03930909090911
369,47.649624680468605,-122.2803157781625,53033004101,0,0,5,0,0,0,10,6,12,2.1904761904761907,1.0552294193609573,34.36466666666667
370,47.66227780389478,-122.24828142049294,53033004102,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0
371,47.51427004195132,-122.3625532622706,53033026600,10,5,3,0,7,2,10,10,11,2.647058823529412,1.0231129473674798,98.87352941176472
372,47.69488018845915,-122.3998288829493,53033001500,2,1,3,0,0,0,10,4,23,2.236842105263158,1.0565171211861943,52.27034146341463
373,47.69494670379654,-122.37621734406008,53033001600,8,2,4,0,2,3,10,10,85,2.8350515463917527,1.0963161312144225,37.89588188976378
374,47.66559876109011,-122.31726503783936,53033004402,0,5,6,0,3,5,10,10,285,3.34983498349835,1.0329400975450729,24.348528421052627
375,47.64234712674422,-122.31040302921288,53033006200,0,4,10,0,0,0,10,10,127,2.96,1.0347723592566056,22.982514423076942
376,47.657348453595546,-122.32369966714546,53033005201,0,5,10,0,4,9,0,10,194,3.1194690265486726,1.0276481233967234,30.131821212121224
377,47.5312654963331,-122.3543765833704,53033011300,0,3,2,0,0,0,0,5,14,3.6666666666666665,0.9999996509269764,100.73631578947366
378,47.52961047450549,-122.3864813428049,53033011602,0,2,7,4,0,0,0,2,27,2.96875,1.0129988997909218,81.06699999999998
379,47.64964748513309,-122.40714215808828,53033005600,0,3,2,1,1,0,0,10,36,2.6,1.021155846038904,54.0303015873016
380,47.70013601252278,-122.2862968952245,53033002200,0,5,3,8,0,1,0,3,15,2.4761904761904763,1.008153830685132,85.64385714285714
381,47.65658247512987,-122.24744260302973,53033004101,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0
382,47.60951325734541,-122.4037901054072,53033990100,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
383,47.59660313345272,-122.28324842984053,53033008900,0,2,10,5,1,0,0,10,0,0.0,0.0,0.0
384,47.65382394513597,-122.34381854256976,53033005402,0,4,10,4,2,10,10,10,170,3.0653266331658293,1.0569404015138466,33.3098865248227
385,47.57681348391652,-122.32267266339858,53033009300,0,1,4,4,2,1,10,10,49,2.783333333333333,1.1038837671614998,49.94056164383562
386,47.55552960627384,-122.28516337424269,53033010302,10,0,3,5,2,5,10,10,73,2.6122448979591835,1.0827935246284055,39.03559649122807
387,47.55200659980261,-122.37744437624912,53033010501,2,0,9,4,0,0,10,10,45,3.196078431372549,1.006544898992219,70.58310294117645
388,47.55400581894058,-122.35208040291552,53033010800,1,0,9,4,0,0,10,4,45,2.6031746031746037,1.091458152093881,42.97324000000001
389,47.51460274817901,-122.27253282322673,53033011700,5,0,1,6,1,0,10,6,45,2.220779220779221,1.0275119134639743,42.35912987012988
390,47.69562730258429,-122.35323383361406,53033001701,10,0,3,1,1,6,10,10,80,2.9885057471264367,1.0463461732793562,50.73257894736844
391,47.68418193629431,-122.38994749579008,53033003100,4,0,4,0,0,1,10,10,46,3.3617021276595747,1.0260728178474825,62.00077272727274
392,47.56634501061947,-122.27829371613524,53033010102,5,0,0,7,1,0,10,10,31,2.9411764705882355,1.0570205124350591,48.9996046511628
393,47.59831215127274,-122.32804214549756,53033009300,10,0,0,5,7,8,10,10,399,3.31924882629108,1.0432365845451703,22.10136849925705
394,47.69092343513367,-122.25168000840443,53033002200,0,0,0,8,0,0,7,1,0,0.0,0.0,0.0
395,47.58999701301492,-122.42565027022982,53033990100,0,0,0,3,0,0,5,0,0,0.0,0.0,0.0
396,47.5430177739942,-122.28973214235128,53033011001,10,0,0,6,3,0,10,10,42,2.3230769230769237,1.031097176383714,51.98444927536232
397,47.605743249017145,-122.25616602490624,53033024302,0,0,0,8,0,0,10,0,0,0.0,0.0,0.0
398,47.701312022332175,-122.32341498804212,53033001900,10,3,0,4,0,0,10,10,211,3.071729957805907,1.1000021978845649,28.74548688046647
399,47.560483384160925,-122.3320252094513,53033009300,4,0,0,3,0,0,10,10,20,2.708333333333333,1.2899318331739469,52.79743333333332
400,47.54235129104334,-122.3302554452607,53033010900,7,0,0,4,0,0,10,10,53,2.918032786885246,1.14624267580449,51.01743421052631
401,47.63105159446948,-122.25378993705212,53033024200,0,0,0,9,0,0,10,0,0,0.0,0.0,0.0
402,47.63964934543387,-122.26489004691813,53033006300,0,0,1,8,0,0,10,6,0,0.0,0.0,0.0
403,47.521481934178695,-122.40204086878386,53033012100,2,0,4,3,0,0,10,2,0,0.0,0.0,0.0
404,47.51117471645144,-122.24608345656472,53033011902,1,0,3,5,0,0,10,1,28,2.4,1.020001796214116,49.65718749999999
405,47.604494729722,-122.35347333259446,53033990100,10,0,2,4,0,0,10,10,0,0.0,0.0,0.0
406,47.5472875471954,-122.35030419872288,53033010800,0,1,5,4,0,0,10,4,49,2.694915254237288,1.1916142790348334,47.846146666666655
407,47.67096071803438,-122.3374979300024,53033004600,5,4,5,3,0,0,10,10,32,3.090909090909091,1.0459049040446389,77.7599512195122
408,47.66208318409364,-122.40038245559651,53033005700,4,1,4,1,1,0,10,10,25,2.292682926829268,1.0035000686110955,39.03820930232558
