state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,005802,2,"Block Group 2, Census Tract 58.02, King County, Washington",2356,0,21,20,0,19,13,0,0,79,0,20,0
53,033,005802,3,"Block Group 3, Census Tract 58.02, King County, Washington",2303,41,57,0,21,21,36,0,20,0,19,14,27
53,033,024100,3,"Block Group 3, Census Tract 241, King County, Washington",1742,16,11,19,30,23,31,12,14,49,41,17,40
53,033,009300,1,"Block Group 1, Census Tract 93, King County, Washington",675,13,7,31,9,18,8,7,14,0,0,8,15
53,033,009300,2,"Block Group 2, Census Tract 93, King County, Washington",1441,23,56,24,18,8,6,0,8,6,25,14,0
53,033,009300,3,"Block Group 3, Census Tract 93, King County, Washington",1063,26,26,10,9,9,6,22,0,12,7,0,0
53,033,021300,1,"Block Group 1, Census Tract 213, King County, Washington",1569,9,25,29,26,19,8,0,41,15,63,19,15
53,033,021300,2,"Block Group 2, Census Tract 213, King County, Washington",1160,12,25,12,0,26,9,0,17,0,57,0,39
53,033,021300,3,"Block Group 3, Census Tract 213, King County, Washington",1335,37,21,68,16,10,0,18,22,24,8,29,48
53,033,029801,5,"Block Group 5, Census Tract 298.01, King County, Washington",2341,0,0,15,0,0,0,16,0,17,0,0,0
53,033,029801,1,"Block Group 1, Census Tract 298.01, King County, Washington",2365,0,19,0,23,22,11,0,21,10,25,11,0
53,033,029801,4,"Block Group 4, Census Tract 298.01, King County, Washington",1473,51,69,11,22,0,0,38,0,11,13,21,0
53,033,029801,2,"Block Group 2, Census Tract 298.01, King County, Washington",1689,0,47,28,0,0,0,53,44,0,63,0,0
53,033,029801,3,"Block Group 3, Census Tract 298.01, King County, Washington",1934,14,0,0,16,0,22,20,92,66,0,2,23
53,033,009702,5,"Block Group 5, Census Tract 97.02, King County, Washington",1323,58,52,0,0,0,24,0,55,0,16,31,24
53,033,009702,1,"Block Group 1, Census Tract 97.02, King County, Washington",1245,14,37,0,13,0,0,0,21,0,56,0,35
53,033,009702,3,"Block Group 3, Census Tract 97.02, King County, Washington",820,0,0,54,0,0,0,17,0,7,0,15,0
53,033,009702,2,"Block Group 2, Census Tract 97.02, King County, Washington",1217,0,21,15,17,0,0,0,29,32,51,4,0
53,033,021600,1,"Block Group 1, Census Tract 216, King County, Washington",1553,21,11,33,10,11,12,19,0,81,20,0,11
53,033,030901,1,"Block Group 1, Census Tract 309.01, King County, Washington",2028,7,35,5,23,0,0,26,31,5,0,8,0
53,033,030901,2,"Block Group 2, Census Tract 309.01, King County, Washington",1758,5,0,35,22,0,0,14,16,16,25,5,12
53,033,004000,1,"Block Group 1, Census Tract 40, King County, Washington",2258,46,39,7,30,7,12,29,36,58,38,7,14
53,033,007900,2,"Block Group 2, Census Tract 79, King County, Washington",1033,0,0,0,18,0,0,15,37,61,0,0,0
53,033,007900,4,"Block Group 4, Census Tract 79, King County, Washington",1313,0,17,35,0,79,0,17,17,37,0,0,18
53,033,009200,2,"Block Group 2, Census Tract 92, King County, Washington",1241,16,22,16,9,0,0,23,14,0,0,0,0
53,033,005400,4,"Block Group 4, Census Tract 54, King County, Washington",1867,19,0,0,0,62,0,0,27,0,0,0,0
53,033,008001,1,"Block Group 1, Census Tract 80.01, King County, Washington",2168,0,41,34,30,0,0,28,40,30,0,0,0
53,033,032318,3,"Block Group 3, Census Tract 323.18, King County, Washington",1104,0,21,24,0,8,0,0,23,0,8,0,0
53,033,032318,4,"Block Group 4, Census Tract 323.18, King County, Washington",2091,2,22,0,1,10,0,12,0,32,11,10,2
53,033,032318,1,"Block Group 1, Census Tract 323.18, King County, Washington",2282,8,0,30,0,9,9,9,28,31,24,0,0
53,033,022606,4,"Block Group 4, Census Tract 226.06, King County, Washington",1327,28,31,49,0,17,0,52,36,48,18,17,0
